Num,Name,Size,File Offset,Comment ,Bytes
07:00:00 AM,00000001.bmp ,     900 KB ,512,  (640 x 480),921654
03:00:00 AM,00067666.gif ,      80 KB ,34644992,  (2580 x 1932),82633
04:00:00 AM,00080787.gif ,      51 KB ,41362944,  (2580 x 1932),52958
05:00:00 AM,00082971.gif ,       1 KB ,42481152,  (2580 x 1932),1929
06:00:00 AM,00091487.gif ,       5 KB ,46841344,  (2580 x 1932),5912
12:00:00 AM,00095949.jpg ,     876 KB ,49125888, ,897275
01:00:00 AM,00097702.jpg ,       2 MB ,50023424, ,2298009
02:00:00 AM,00104815.jpg ,     779 KB ,53665280, ,798064
08:00:00 AM,00106374.png ,       5 MB ,54463488,  (1932 x 2580),6164389
09:00:00 AM,00150232.png ,      10 MB ,76918784,  (2580 x 1932),11067334
