Num,Name,Size,File Offset,Comment ,Bytes
10:00:00 AM,00001441.bmp ,     900 KB ,737792,  (640 x 480),921654
03:00:00 AM,00165973.gif ,      80 KB ,84978176,  (2580 x 1932),82633
04:00:00 AM,00168598.gif ,      51 KB ,86322176,  (2580 x 1932),52958
05:00:00 AM,00177643.gif ,       1 KB ,90953216,  (2580 x 1932),1929
06:00:00 AM,00182885.gif ,       5 KB ,93637120,  (2580 x 1932),5912
07:00:00 AM,00183803.gif ,      30 KB ,94107136,  (259 x 194),31408
08:00:00 AM,00183873.gif ,       1 KB ,94142976,  (1932 x 2580),1929
09:00:00 AM,00191866.gif ,       1 KB ,98235392,  (2580 x 1932),1929
12:00:00 AM,00194175.jpg ,     183 KB ,99417600, ,188034
01:00:00 AM,00200069.jpg ,       1 MB ,102435328, ,1287536
02:00:00 AM,00202904.jpg ,     436 KB ,103886848, ,446557
11:00:00 AM,00205921.jpg ,       1 MB ,105431552, ,1283778
12:00:00 PM,00209834.jpg ,     273 KB ,107435008, ,280554
