Num,Name,Size,File Offset,Comment ,Bytes
12:00:00 AM,00000001.jpg ,     876 KB ,512, ,897275
07:00:00 AM,00001754.bmp ,     900 KB ,898048,  (640 x 480),921654
02:00:00 AM,00003555.gif ,      80 KB ,1820160,  (2580 x 1932),82633
03:00:00 AM,00016676.gif ,      51 KB ,8538112,  (2580 x 1932),52958
04:00:00 AM,00023225.gif ,       1 KB ,11891200,  (2580 x 1932),1929
08:00:00 AM,00044561.png ,       5 MB ,22815232,  (1932 x 2580),6164389
09:00:00 AM,00056601.png ,       7 MB ,28979712,  (2580 x 1932),8182655
01:00:00 AM,00072583.jpg ,       1 MB ,37162496, ,1625241
05:00:00 AM,00075758.gif ,       5 KB ,38788096,  (2580 x 1932),5912
10:00:00 AM,00080220.png ,       7 MB ,41072640,  (2580 x 1932),8107995
06:00:00 AM,00131925.gif ,      33 KB ,67545600,  (259 x 194),34480
11:00:00 AM,00224627.jpg ,       1 MB ,115009024, ,2015880
04:00:00 PM,00228565.png ,      10 MB ,117025280,  (2580 x 1932),11067334
12:00:00 PM,00250181.jpg ,     779 KB ,128092672, ,798064
05:00:00 PM,00251740.png ,      11 MB ,128890880,  (2580 x 1932),11592240
01:00:00 PM,00274382.jpg ,       1 MB ,140483584, ,1370140
06:00:00 PM,00277059.png ,       8 MB ,141854208,  (2580 x 1932),8455527
02:00:00 PM,00293574.jpg ,       1 MB ,150309888, ,1267394
03:00:00 PM,00325257.jpg ,     827 KB ,166531584, ,847709
07:00:00 PM,00326913.png ,       8 MB ,167379456,  (2580 x 1932),8761126
08:00:00 PM,00460898.jpg ,       1 MB ,235979776, ,1236401
09:00:00 PM,00463313.gif ,       1 KB ,237216256,  (1932 x 2580),1929
10:00:00 PM,00467693.gif ,       1 KB ,239458816,  (2580 x 1932),1929
24:00:00,00472070.png ,       8 MB ,241699840,  (2580 x 1932),8967394
11:00:00 PM,00518802.gif ,      16 KB ,265626624,  (259 x 194),16913
