Num,Name,Size,File Offset,Comment ,Bytes
11:00:00 AM,00000001.bmp ,     900 KB ,512,  (640 x 480),921654
05:00:00 AM,00139890.gif ,      80 KB ,71623680,  (2580 x 1932),82633
06:00:00 AM,00156942.gif ,       1 KB ,80354304,  (2580 x 1932),1929
07:00:00 AM,00159437.gif ,       5 KB ,81631744,  (2580 x 1932),5912
08:00:00 AM,00161229.gif ,      41 KB ,82549248,  (259 x 194),42672
09:00:00 AM,00161321.gif ,       1 KB ,82596352,  (1932 x 2580),1929
10:00:00 AM,00168406.gif ,      40 KB ,86223872,  (259 x 194),40977
12:00:00 AM,00168573.jpg ,     876 KB ,86309376, ,897275
01:00:00 AM,00172233.jpg ,       1 MB ,88183296, ,1209992
02:00:00 AM,00174599.jpg ,     322 KB ,89394688, ,329821
03:00:00 AM,00177932.jpg ,       1 MB ,91101184, ,1267394
04:00:00 AM,00181482.jpg ,     756 KB ,92918784, ,774577
12:00:00 PM,00183059.png ,       5 MB ,93726208,  (1932 x 2580),6164389
01:00:00 PM,00245515.png ,       8 MB ,125703680,  (2580 x 1932),8455527
